"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Anaxyrus williamsi","Dixie Valley Toad","","8","Endangered","Amphibians"
"Coccyzus americanus","Yellow-billed Cuckoo","Western U.S. DPS","2","Threatened","Birds"
"Bison bison athabascae","Wood Bison","Wherever found","7","Threatened","Mammals"
"Etheostoma fonticola","Fountain darter","Wherever found","2","Endangered","Fishes"
"Caretta caretta","Loggerhead sea turtle","North Pacific Ocean DPS","1","Endangered","Reptiles"
"Erimystax cahni","Slender chub","Wherever found","4","Threatened","Fishes"
"Panthera onca","Jaguar","Wherever found","2","Endangered","Mammals"
"Alligator mississippiensis","American alligator","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Oncorhynchus clarkii henshawi","Lahontan cutthroat trout","Wherever found","8","Threatened","Fishes"
"Etheostoma percnurum","Duskytail darter","Wherever found","4","Endangered","Fishes"
"Percina antesella","Amber darter","Wherever found","4","Endangered","Fishes"
"Peromyscus polionotus trissyllepsis","Perdido Key beach mouse","Wherever found","4","Endangered","Mammals"
"Antilocapra americana sonoriensis","Sonoran pronghorn","U.S.A. (AZ), Mexico","2","Experimental Population, Non-Essential","Mammals"
"Rana draytonii","California red-legged frog","Wherever found","8","Threatened","Amphibians"
"Eurycea tonkawae","Jollyville Plateau Salamander","Wherever found","2","Threatened","Amphibians"
"Fulica alai","Hawaiian coot (alae ke`oke`o)","Wherever found","1","Endangered","Birds"
"Somateria fischeri","Spectacled eider","Wherever found","7","Threatened","Birds"
"Percina aurora","Pearl darter","Wherever found","4","Threatened","Fishes"
"Oncorhynchus clarkii seleniris","Paiute cutthroat trout","Wherever found","8","Threatened","Fishes"
"Percina williamsi","Sickle darter","Wherever found","4","Threatened","Fishes"
"Graptemys flavimaculata","Yellow-blotched map turtle","Wherever found","4","Threatened","Reptiles"
"Etheostoma phytophilum","Rush Darter","Wherever found","4","Endangered","Fishes"
"Thamnophis eques megalops","Northern Mexican gartersnake","Wherever found","2","Threatened","Reptiles"
"Chelonia mydas","Green sea turtle","South Atlantic DPS","4","Threatened","Reptiles"
"Gila ditaenia","Sonora chub","Wherever found","2","Threatened","Fishes"
"Bison bison athabascae","Wood Bison","Alaska Experimental Population","7","Experimental Population, Non-Essential","Mammals"
"Glaucidium brasilianum cactorum","Cactus ferruginous pygmy-owl","Wherever found","2","Threatened","Birds"
"Hydrobates castro","Band-rumped Storm-petrel","USA (HI)","1","Endangered","Birds"
"Acipenser transmontanus","White sturgeon","U.S.A. (ID, MT), Canada (B.C.), Kootenai R. system","1","Endangered","Fishes"
"Telespiza cantans","Laysan finch","Wherever found","1","Endangered","Birds"
"Ambystoma mexicanum","Axolotl","","4","Endangered","Amphibians"
"Rana muscosa","Mountain yellow-legged frog","Southern California DPS","8","Endangered","Amphibians"
"Ambystoma cingulatum","Frosted Flatwoods salamander","Wherever found","4","Threatened","Amphibians"
"Cyprinella caerulea","Blue shiner","Wherever found","4","Threatened","Fishes"
"Gallinula galeata sandvicensis","Hawaiian common gallinule","Wherever found","1","Endangered","Birds"
"Oreomystis bairdi","Akikiki","Wherever found","1","Endangered","Birds"
"Vulpes macrotis mutica","San Joaquin kit fox","wherever found","8","Endangered","Mammals"
"Amazona vittata","Puerto Rican parrot","Wherever found","4","Endangered","Birds"
"Vulpes vulpes necator","Sierra Nevada red fox","","8","Endangered","Mammals"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","U.S.A (AZ, NM)","2","Experimental Population, Non-Essential","Birds"
"Hybognathus amarus","Rio Grande Silvery Minnow","Wherever found, except where listed as an experimental population","2","Endangered","Fishes"
"Ursus arctos horribilis","Grizzly bear","U.S.A., conterminous (lower 48) States, except where listed as an experimental population","6","Threatened","Mammals"
"Percina jenkinsi","Conasauga logperch","Wherever found","4","Endangered","Fishes"
"Noturus baileyi","Smoky madtom","Wherever found","4","Endangered","Fishes"
"Chilabothrus inornatus","Puerto Rican boa","Wherever found","4","Endangered","Reptiles"
"Aerodramus bartschi","Mariana swiftlet","Wherever found","1","Endangered","Birds"
"Chelonia mydas","Green sea turtle","East Pacific DPS","8","Threatened","Reptiles"
"Canis lupus baileyi","Mexican wolf","Wherever found, except where listed as an experimental population","2","Endangered","Mammals"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","Wherever found, except where listed as an experimental population","2","Endangered","Birds"
"Corvus kubaryi","Mariana (=aga) Crow","Wherever found","1","Endangered","Birds"
"Mycteria americana","Wood stork","AL, FL, GA, MS, NC, SC","4","Threatened","Birds"
"Cyprinodon nevadensis mionectes","Ash Meadows Amargosa pupfish","Wherever found","8","Endangered","Fishes"
"Peromyscus polionotus niveiventris","Southeastern beach mouse","wherever found","4","Threatened","Mammals"
"Microtus californicus scirpensis","Amargosa vole","Wherever found","8","Endangered","Mammals"
"Scaphirhynchus suttkusi","Alabama sturgeon","Wherever found","4","Endangered","Fishes"
"Lasiurus cinereus semotus","Hawaiian hoary bat","Wherever found","1","Endangered","Mammals"
"Oncorhynchus gilae","Gila trout","Wherever found","2","Threatened","Fishes"
"Notropis oxyrhynchus","Sharpnose Shiner","Wherever found","2","Endangered","Fishes"
"Rana boylii","Foothill yellow-legged frog","South Coast Distinct Population Segment (South Coast DPS)","8","Endangered","Amphibians"
"Dryobates borealis","Red-cockaded woodpecker","Wherever found","4","Threatened","Birds"
"Etheostoma percnurum","Duskytail darter","Tellico River, TN","4","Experimental Population, Non-Essential","Fishes"
"Anas wyvilliana","Hawaiian duck","Wherever found","1","Endangered","Birds"
"Grus americana","Whooping crane","U.S.A (Southwestern Louisiana)","2","Experimental Population, Non-Essential","Birds"
"Ictalurus pricei","Yaqui catfish","Wherever found","2","Threatened","Fishes"
"Thamnophis gigas","Giant garter snake","Wherever found","8","Threatened","Reptiles"
"Crenichthys baileyi baileyi","White River springfish","Wherever found","8","Endangered","Fishes"
"Urocitellus brunneus","Northern Idaho Ground Squirrel","Wherever found","1","Threatened","Mammals"
"Lepidomeda albivallis","White River spinedace","Wherever found","8","Endangered","Fishes"
"Noturus stanauli","Pygmy madtom","Wherever found","4","Endangered","Fishes"
"Mustela nigripes","Black-footed ferret","Wherever found, except where listed as an experimental population","6","Endangered","Mammals"
"Catostomus santaanae","Santa Ana sucker","3 CA river basins","8","Threatened","Fishes"
"Lepidochelys kempii","Kemp's ridley sea turtle","Wherever found","2","Endangered","Reptiles"
"Catostomus warnerensis","Warner sucker","Wherever found","1","Threatened","Fishes"
"Dipodomys ingens","Giant kangaroo rat","Wherever found","8","Endangered","Mammals"
"Ammospiza maritima mirabilis","Cape Sable seaside sparrow","Wherever found","4","Endangered","Birds"
"Etheostoma wapiti","Boulder darter","Shoal Creek","4","Experimental Population, Non-Essential","Fishes"
"Pterodroma sandwichensis","Hawaiian petrel","Wherever found","1","Endangered","Birds"
"Oncorhynchus aguabonita whitei","Little Kern golden trout","Wherever found","8","Threatened","Fishes"
"Corvus leucognaphalus","White-necked crow","Wherever found","4","Endangered","Birds"
"Buteo platypterus brunnescens","Puerto Rican broad-winged hawk","Wherever found","4","Endangered","Birds"
"Cyprinodon macularius","Desert pupfish","Wherever found","2","Endangered","Fishes"
"Graptemys pulchra","Alabama Map turtle","Wherever found","4","Similarity of Appearance (Threatened)","Reptiles"
"Plagopterus argentissimus","Woundfin","Gila R. drainage, AZ, NM","6","Experimental Population, Non-Essential","Fishes"
"Colinus virginianus ridgwayi","Masked bobwhite (quail)","Wherever found","2","Endangered","Birds"
"Reithrodontomys raviventris","salt marsh harvest mouse","wherever found","8","Endangered","Mammals"
"Ambystoma macrodactylum croceum","Santa Cruz long-toed salamander","Wherever found","8","Endangered","Amphibians"
"Puffinus newelli","Newell''s shearwater","Wherever found","1","Threatened","Birds"
"Trichechus manatus","West Indian Manatee","Wherever found","4","Threatened","Mammals"
"Canis lupus","Gray wolf","MN","3","Threatened","Mammals"
"Ovis canadensis sierrae","Sierra Nevada bighorn sheep","Sierra Nevada","8","Endangered","Mammals"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Plagopterus argentissimus","Woundfin","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Gallirallus owstoni","Guam rail","Wherever found, except where listed as an experimental population","1","Endangered","Birds"
"Pseudemys alabamensis","Alabama red-bellied turtle","Wherever found","4","Endangered","Reptiles"
"Cyprinodon nevadensis pectoralis","Warm Springs pupfish","Wherever found","8","Endangered","Fishes"
"Loxioides bailleui","Palila (honeycreeper)","Wherever found","1","Endangered","Birds"
"Eleutherodactylus jasperi","Golden coqui","Wherever found","4","Threatened","Amphibians"
"Tympanuchus cupido attwateri","Attwater's greater prairie-chicken","Wherever found","2","Endangered","Birds"
"Strix occidentalis caurina","Northern spotted owl","Wherever found","1","Threatened","Birds"
"Gymnogyps californianus","California condor","U.S.A. (specific portions of Arizona, Nevada, and Utah)","8","Experimental Population, Non-Essential","Birds"
"Sylvilagus bachmani riparius","riparian brush rabbit","Wherever found","8","Endangered","Mammals"
"Eumeces egregius lividus","blue-tailed mole skink","Wherever found","4","Threatened","Reptiles"
"Crenichthys nevadae","Railroad Valley springfish","Wherever found","8","Threatened","Fishes"
"Necturus alabamensis","Black warrior (=Sipsey Fork) Waterdog","Wherever found","4","Endangered","Amphibians"
"Rana sevosa","dusky gopher frog","Wherever found","4","Endangered","Amphibians"
"Bufo houstonensis","Houston toad","Wherever found","2","Endangered","Amphibians"
"Etheostoma susanae","Cumberland darter","Wherever found","4","Endangered","Fishes"
"Notropis buccula","Smalleye Shiner","Wherever found","2","Endangered","Fishes"
"Sorex ornatus relictus","Buena Vista Lake shrew","Wherever found","8","Endangered","Mammals"
"Phaeognathus hubrichti","Red Hills salamander","Wherever found","4","Threatened","Amphibians"
"Poeciliopsis occidentalis","Gila topminnow (incl. Yaqui)","Wherever found","2","Endangered","Fishes"
"Eurycea nana","San Marcos salamander","Wherever found","2","Threatened","Amphibians"
"Notropis mekistocholas","Cape Fear shiner","Wherever found","4","Endangered","Fishes"
"Etheostoma chermocki","Vermilion darter","Wherever found","4","Endangered","Fishes"
"Sceloporus arenicolus","Dunes sagebrush lizard","Wherever found","2","Endangered","Reptiles"
"Etheostoma nuchale","Watercress darter","Wherever found","4","Endangered","Fishes"
"Tympanuchus pallidicinctus","Lesser prairie-chicken","Northern DPS","2","Threatened","Birds"
"Gallirallus owstoni","Guam rail","Rota","1","Experimental Population, Non-Essential","Birds"
"Gambelia silus","Blunt-nosed leopard lizard","Wherever found","8","Endangered","Reptiles"
"Noturus flavipinnis","Yellowfin madtom","U.S.A. (TN, VA-specified portions of the Holston River and watershed; see 17.84(e)(1)(i))","4","Experimental Population, Non-Essential","Fishes"
"Lanius ludovicianus mearnsi","San Clemente loggerhead shrike","Wherever found","8","Endangered","Birds"
"Thomomys mazama pugetensis","Olympia pocket gopher","Wherever found","1","Threatened","Mammals"
"Ovis canadensis nelsoni","peninsular bighorn sheep","Peninsular CA pop.","8","Endangered","Mammals"
"Rhynchopsitta pachyrhyncha","Thick-billed parrot","Wherever found","2","Endangered","Birds"
"Ammodramus savannarum floridanus","Florida grasshopper sparrow","Wherever found","4","Endangered","Birds"
"Anaxyrus californicus","Arroyo (=arroyo southwestern) toad","Wherever found","8","Endangered","Amphibians"
"Ambystoma bishopi","Reticulated flatwoods salamander","Wherever found","4","Endangered","Amphibians"
"Gopherus flavomarginatus","Bolson tortoise","Wherever found","2","Endangered","Reptiles"
"Etheostoma trisella","Trispot darter","Wherever found","4","Threatened","Fishes"
"Grus americana","Whooping crane","U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)","2","Experimental Population, Non-Essential","Birds"
"Charadrius melodus","Piping Plover","[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)","3","Endangered","Birds"
"Urocyon littoralis catalinae","Santa Catalina Island Fox","Wherever found","8","Threatened","Mammals"
"Eurycea sosorum","Barton Springs salamander","Wherever found","2","Endangered","Amphibians"
